"v0.0.0","22/04/2023","Premier essai"
"v0.1.0","06/07/2023","Amélioration de la sélection des mots. Seules les fonctions enregistrées pour une phrase sont soumises à l'élève"
"v0.1.1","06/07/2023","Correction d'un bogue dans les chemins d'accès"
"v0.1.2","07/07/2023","Correction d'un bogue : les fonctions non utilisées étaient malgré tout demandées lors de l'analyse"
"v0.2.0","21/07/2023","L'utilisateur peut désormais créer de nouvelles phrases et les charger depuis un fichier."
"v0.2.0","21/07/2023","L'utilisateur peut désormais créer de nouvelles phrases et les charger depuis un fichier."
"v0.3.0","31/07/2023","L'utilisateur peut désormais intégrer des fonctions enchâssées et des fonctions qu'on peut trouver plus d'une fois dans un groupe donné"
"v0.3.1","01/08/2023","Un bogue empêchait d'analyser les phrases ne contenant aucun groupe enchâssé"
"v0.4.0","05/08/2023","Affichage du nom des fonctions et autres améliorations essentiellement visuelles"
"v0.5.0","10/08/2023","Il est désormais possible de manipuler le sujet. De nouvelles phrases d'exemples ont été rentrées"
"v0.5.1","11/08/2023","Correction d'une erreur d'affichage au sein des groupes enchâssés"
"v0.6.0","14/08/2023","Manipulation de l'attribut du sujet disponible (voir la dernière phrase de la liste déroulante"
"v0.7.0","18/08/2023","Ajout de la mnipulation des COD, COI et compléments circonstanciels. Nouvelles phrases."
"v0.8.0","08/02/2024","Possibilité d'afficher la phrase après avoir réussi"
"v0.8.1","10/02/2024","Correction du bogue d'affichage des fonctions"
"v0.8.2","12/02/2024","Correction de divers bogues d'affichage et ajout du numéro de version dans le titre de la page"
